51.598,51.505,51.365,51.566,51.654,51.343,51.732,52.823,51.953,51.567,51.420,51.851
71.886,72.154,72.245,72.129,72.203,71.907,71.947,71.926,72.120,73.212,72.084,72.933
76.039,76.112,76.100,76.324,76.394,76.068,76.062,76.039,76.152,76.414,75.885,76.270
31.232,31.919,31.930,31.483,31.535,31.583,31.409,31.158,31.682,33.497,31.647,32.803
218.796,221.742,222.708,217.690,218.011,218.426,219.860,220.934,221.334,232.982,223.578,233.354
-0.078,2.979,2.980,3.083,3.081,2.972,0.785,-2.109,1.839,2.512,0.768,1.514
125.364,123.572,122.696,121.863,122.090,122.291,125.507,128.546,125.758,126.012,125.294,128.418
130.310,130.389,130.271,130.541,130.642,130.241,130.437,130.479,130.628,130.430,130.209,130.594
110.751,108.255,108.151,108.563,108.617,108.189,110.304,111.632,109.960,108.823,110.486,110.621
31.318,31.315,31.266,31.363,31.385,31.285,31.336,31.359,31.364,31.320,31.273,31.324
75.369,72.550,72.316,72.594,72.694,72.384,74.815,77.170,74.468,72.934,74.784,74.616
72.434,72.764,72.963,72.721,72.792,72.486,72.462,72.479,72.621,74.237,72.848,73.628
18.107,18.023,17.899,18.019,18.032,18.061,18.111,18.131,18.102,17.792,17.899,17.825
76.083,76.173,76.136,76.289,76.355,76.080,76.125,76.105,76.235,76.644,75.887,76.462
77.356,77.390,77.361,77.646,77.724,77.335,77.384,77.383,77.482,77.610,77.033,77.544
61.956,62.375,62.527,62.118,62.191,62.053,62.033,61.996,62.213,64.134,62.431,63.378
164.187,164.353,165.083,163.237,163.435,163.014,164.118,167.092,164.419,169.042,167.354,168.595
31.173,31.881,32.048,31.713,31.777,31.600,31.273,30.867,31.532,33.223,31.766,32.491
38.131,39.051,39.224,38.456,38.519,38.534,38.347,37.981,38.735,41.223,39.276,40.352
20.270,20.531,20.543,20.336,20.376,20.319,20.322,19.995,20.590,21.634,20.680,21.522
178.956,179.475,180.076,178.146,178.380,177.921,179.208,180.012,179.750,187.735,180.983,185.791
10.797,10.757,10.713,10.701,10.687,10.753,10.782,10.845,10.796,10.751,10.793,10.706
63.853,65.652,66.012,65.230,65.298,65.144,64.125,63.684,64.545,67.892,64.860,65.935
19.215,18.554,18.402,18.635,18.646,18.648,19.078,19.390,18.950,18.175,18.783,18.539
125.769,126.033,126.007,126.133,126.245,125.727,125.908,125.972,126.155,126.342,125.729,126.697
67.188,68.163,68.374,67.588,67.691,67.506,67.425,67.262,67.833,70.894,67.947,70.059
